,X,tracks,track_id,popularity,artist,artist_full,artist_id,album,album_id,user_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url,display_name,user_followers,artist.1,genres,artist_id.1,artist_popularity,artist_followers,year
443,443,YES or YES,0Ll92eLIHWY5gey1ISNMPi,0.01,TWICE,TWICE,7n2Ycct7Beij7Dj7meI4X0,YES or YES,25Mm06mrgjAuVfTcwKe7pF,husaymonji,0.702,0.913,11,-2.977,1,0.0374,0.0514,3.71E-06,0.166,0.735,137.982,237680,4,spotify:track:0Ll92eLIHWY5gey1ISNMPi,https://api.spotify.com/v1/audio-analysis/0Ll92eLIHWY5gey1ISNMPi,szx,26,TWICE,"k-pop,k-pop girl group",7n2Ycct7Beij7Dj7meI4X0,86,11628839,2020
444,444,Still into You,1yjY7rpaAQvKwpdUliHx0d,0.83,Paramore,Paramore,74XFHRwlV6OrjEM0A2NCMF,Paramore,4sgYpkIASM1jVlNC8Wp9oF,husaymonji,0.602,0.923,5,-3.763,1,0.044,0.0098,0,0.0561,0.765,136.01,216013,4,spotify:track:1yjY7rpaAQvKwpdUliHx0d,https://api.spotify.com/v1/audio-analysis/1yjY7rpaAQvKwpdUliHx0d,szx,26,Paramore,"candy pop,pixie,pop emo,pop punk",74XFHRwlV6OrjEM0A2NCMF,80,6554734,2020
445,445,D.O.A. (Death Of Auto-Tune),5kMsjfhYMZ1L9Btuu0AIRx,0.55,JAY-Z,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,The Blueprint 3,2CUT0104gySOIvqwtXeFsX,husaymonji,0.569,0.869,3,-5.432,0,0.217,0.0342,0,0.0718,0.492,86.62,256387,4,spotify:track:5kMsjfhYMZ1L9Btuu0AIRx,https://api.spotify.com/v1/audio-analysis/5kMsjfhYMZ1L9Btuu0AIRx,szx,26,JAY-Z,"east coast hip hop,hip hop,rap",3nFkdlSjzX9mRTtwJOzDYB,86,6801469,2020
446,446,Galit,2OnkaSybU23g3Buz36BaKr,0.18,Bullet Dumas,Bullet Dumas,1hFH6NZJrhl0Un65IZxlZH,Bullet Dumas,2UZhawvNsdrVrhrxKiVwOz,husaymonji,0.433,0.273,3,-13.592,0,0.0376,0.279,0.0134,0.101,0.137,126.583,233950,3,spotify:track:2OnkaSybU23g3Buz36BaKr,https://api.spotify.com/v1/audio-analysis/2OnkaSybU23g3Buz36BaKr,szx,26,Bullet Dumas,"pinoy indie,pinoy rock",1hFH6NZJrhl0Un65IZxlZH,26,27056,2020
447,447,MIC Drop (Steve Aoki Remix) [Full Length Edition],75scDPqGs75FotglJSoOI2,0.78,BTS,BTS feat. Steve Aoki,3Nrfpe0tUJi4K4DXYWgMUX,Love Yourself <U+7D50> 'Answer',2lATw9ZAVp7ILQcOKPCPqp,husaymonji,0.606,0.848,11,-3.952,1,0.184,0.0114,1.06E-06,0.206,0.54,170.01,307676,4,spotify:track:75scDPqGs75FotglJSoOI2,https://api.spotify.com/v1/audio-analysis/75scDPqGs75FotglJSoOI2,szx,26,BTS,"k-pop,k-pop boy group",3Nrfpe0tUJi4K4DXYWgMUX,96,42733517,2020
448,448,Watawat,4jw8y9Chd0ScSwB55PO4sV,0.03,Borhuh,Borhuh feat. Schumi,5mheAaS72JKiklL2CvvDnH,Watawat,4lYI4VSC6mW0WKhfxsBcEP,husaymonji,0.771,0.86,1,-6.501,1,0.261,0.055,0,0.147,0.365,170.104,261552,4,spotify:track:4jw8y9Chd0ScSwB55PO4sV,https://api.spotify.com/v1/audio-analysis/4jw8y9Chd0ScSwB55PO4sV,szx,26,Borhuh,"pinoy hip hop,pinoy r&b",5mheAaS72JKiklL2CvvDnH,17,1071,2020
449,449,Dirt off Your Shoulder / Lying From You,7dvd3b2oz7AFgXrPBIIYxR,0.58,JAY-Z,JAY-Z feat. Linkin Park,3nFkdlSjzX9mRTtwJOzDYB,Collision Course (Deluxe Version),5NH94cATqx5fjBE794xZLy,husaymonji,0.557,0.905,11,-4.506,1,0.267,0.0104,0,0.111,0.799,160.013,244693,4,spotify:track:7dvd3b2oz7AFgXrPBIIYxR,https://api.spotify.com/v1/audio-analysis/7dvd3b2oz7AFgXrPBIIYxR,szx,26,JAY-Z,"east coast hip hop,hip hop,rap",3nFkdlSjzX9mRTtwJOzDYB,86,6801469,2020
450,450,Usisa,5a5ko5xHJsNNxf3apcoqjU,0.18,Bullet Dumas,Bullet Dumas,1hFH6NZJrhl0Un65IZxlZH,USISA,7B8fw0oZMsyFsqItcF7eqn,husaymonji,0.288,0.719,2,-6.853,0,0.107,0.501,0.0772,0.193,0.429,76.491,511317,4,spotify:track:5a5ko5xHJsNNxf3apcoqjU,https://api.spotify.com/v1/audio-analysis/5a5ko5xHJsNNxf3apcoqjU,szx,26,Bullet Dumas,"pinoy indie,pinoy rock",1hFH6NZJrhl0Un65IZxlZH,26,27056,2020
451,451,Daechwita,0H4ugk6rhnXmTl47ayy9O5,0.79,Agust D,Agust D,5RmQ8k4l3HZ8JoPb4mNsML,D-2,0zhGddZ83RpCgnelKWa2qS,husaymonji,0.65,0.827,8,-4.014,1,0.0599,0.0229,0,0.121,0.223,144.995,225668,4,spotify:track:0H4ugk6rhnXmTl47ayy9O5,https://api.spotify.com/v1/audio-analysis/0H4ugk6rhnXmTl47ayy9O5,szx,26,Agust D,k-rap,5RmQ8k4l3HZ8JoPb4mNsML,71,6700327,2020
452,452,BOY BYE,6e7hIhOLH9zvb3zP5O5gt0,0.64,BROCKHAMPTON,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,GINGER,1jToVugwBEzcak8gJNZG2f,husaymonji,0.869,0.747,9,-7.143,1,0.151,0.512,0,0.124,0.784,124.932,142187,4,spotify:track:6e7hIhOLH9zvb3zP5O5gt0,https://api.spotify.com/v1/audio-analysis/6e7hIhOLH9zvb3zP5O5gt0,szx,26,BROCKHAMPTON,"boy band,hip hop,pop,rap",1Bl6wpkWCQ4KVgnASpvzzA,74,1897510,2020
